year,population,kinneret level (m),tot water produced (million m3),tot water produced without desalination (million m3),tot water produced without water reuse (million m3),tot water produced without water reuse and desalination (million m3),total produced by wells (milion m3),produced by Kinneret (milion m3),total produced by Upper water (milion m3),produced by Effluents (milion m3),Water desalination (mCm),Ashdod (MCM/Y),Sorek (MCM/Y),Hadera (MCM/Y),Palmachim (MCM/Y),Ashkelon (MCM/Y),total water consumed (milion m3),Domestic (milion m3),Industrial (milion m3),Agricultural (milion m3), Water for the environment (milion m3),       Other suppliers ,Average maximum temperatue,Average minimum temperatue,Mean annual temperature,Annual total wet-day precipitation (mm),Extremely wet days (mm),Simple daily intensity index (mm/day),Drought index,Water tarif for citizens (NIS),Desalinated Water cost for goverment (NIS),Water tarif to desalination plants (NIS),Tarif Domestic Use (Initial Cubic Meter) NIS/m3,Tarif Domestic Use (Additional Cubic Meter) NIS/m3,Tarif Agricultural Use (Treated Water)NIS/m3,Tarif Agricultural Use (Saline Water)NIS/m3,Tarif Industrial Use (Initial Rate)NIS/m3,Tarif Public Gardening (Base Rate)NIS/m3,Tarif  Public Gardening (Excess Rate)NIS/m3,Electricity Price (NIS/kWh),Energy consumed for production desalinated water (kWh) fixed price per m3,Energy used per desalinated water (kWh),Total t.o.e. electricty consumed ,Total electricity consumed in israel (kWh),Grid Dependency of Water Sector (%),Backup / Renewable Energy Fraction (%),Conflict Disruption (% supply lost),Conflict Scenario Flag (Y/N),Population Displacement (persons or %),Conflict Severity Index (0-3),Conflict Start Year (YYYY),Conflict Duration (years),Cyber Attack Downtime (days/year or % time),Cybersecurity Scenario Flag (Y/N),Cyber Incident Frequency (incidents/year),Cyber Threat Level Index (0-3),Attack Attempt Frequency (attempts/year),Attack Success Probability (%),"Household Income (Low-Income, NIS/year)",Affordability Threshold (% income),New Desal Capacity (m³/day or MCM/year),Commissioning Year (YYYY),Plant Location / Region (ID),Scenario Crisis Combination (label),Supply Reliability (%),Resilience Index (dimensionless),Shortfall Severity (MCM or % demand),Mean Recovery Time (days),Impairment of functional continuity,Intrusion into computer systems,Weaknesses in a computer system,total_supply,total_demand,surplus,total_supply_mcm_hist,total_demand_mcm,surplus_mcm_hist,water_desalination_mcm,capped_groundwater,produced_by_kinneret_milion_m3,capped_reuse,total_produced_by_upper_water_milion_m3,renewable_supply_mcm_hist,wsi_hist,ddr_hist,supply_per_capita,demand_per_capita,demand_mcm,desal_mcm,groundwater_mcm,surface_mcm,reuse_mcm,upper_water_mcm,total_supply_mcm_proj,renewable_supply_mcm_proj,surplus_mcm_proj,wsi_proj,ddr_proj,total_supply_mcm,renewable_supply_mcm,wsi,ddr,surplus_mcm
1990,4821700.0,-212.01650000000004,1939.0,,1780.0,1780.0,1126.0,153.0,501.0,159.0,,,,,,,1804.0,439.0,106.0,1216.0,,,25.89,14.33,20.11,462.4,37.0,10.3,,,,,,,,,,,,,3.5,,,,,,,N,,1.0,,,,,,,,,,,,,,,,,,,,,,1939.0,1761.0,178.0,1939.0,1761.0,178.0,,1126.0,153.0,159.0,501.0,1939.0,0.9082001031459516,,0.00040214032395213307,0.0003652238836924736,,,,,,,,,,,,1939.0,1939.0,0.9082001031459516,,178.0
1991,5058800.0,-212.39713692946063,1944.7,,1774.7,1774.7,1119.0,160.7,495.0,170.0,,,,,,,1484.0,515.0,106.0,939.0,,,25.61,14.6,20.1,385.4,37.9,11.0,,,,,2.32,3.42,1.1,0.36,4.97,0.36,0.96,,3.5,,,,,,,N,,2.0,,,,,,,,,,,,,,,,,,,,,,1944.7,1560.0,384.70000000000005,1944.7,1560.0,384.70000000000005,,1119.0,160.7,170.0,495.0,1944.7,0.8021802848768448,,0.0003844192298568831,0.0003083735273187317,,,,,,,,,,,,1944.7,1944.7,0.8021802848768448,,384.70000000000005
1992,5195900.0,-209.40668393782383,1950.4,,1769.4,1769.4,1112.0,168.4,489.0,181.0,,,,,,,1617.0,512.0,106.0,996.0,,,24.5,13.59,19.05,910.0,170.8,15.1,,,,,2.53,3.75,1.2,0.36,5.44,0.36,0.96,,3.5,,,,,,,N,,1.0,,,,,,,,,,,,,,,,,,,,,,1950.4,1614.0,336.4000000000001,1950.4,1614.0,336.4000000000001,,1112.0,168.4,181.0,489.0,1950.4,0.8275225594749794,,0.0003753728901633981,0.0003106295348255355,,,,,,,,,,,,1950.4,1950.4,0.8275225594749794,,336.4000000000001
1993,5327600.0,-209.1663380281692,1956.1,,1764.1,1764.1,1105.0,176.1,483.0,192.0,,,,,,,1793.0,544.0,106.0,1175.0,,,25.77,14.1,19.94,525.3,40.3,12.2,,,,,2.53,3.75,1.38,0.36,5.44,0.36,0.96,,3.5,,,,,,,Y,,2.0,1993.0,3,,,,,,,,,,,,,,,,,,,,1956.1,1825.0,131.0999999999999,1956.1,1825.0,131.0999999999999,,1105.0,176.1,192.0,483.0,1956.1,0.9329788865599918,,0.00036716345070951273,0.0003425557474284856,,,,,,,,,,,,1956.1,1956.1,0.9329788865599918,,131.0999999999999
1994,5471500.0,-209.77825174825168,1961.8,,1758.8,1758.8,1098.0,183.8,477.0,203.0,,,,,,,1840.0,464.0,106.0,1190.0,,,26.07,15.03,20.55,336.3,9.5,9.1,,,,,2.53,3.75,1.5,0.36,5.44,0.36,0.96,,3.5,,,,,,,Y,,1.0,1993.0,3,,,,,,,,,,,,,,,,,,,,1961.8,1760.0,201.79999999999995,1961.8,1760.0,201.79999999999995,,1098.0,183.8,203.0,477.0,1961.8,0.897135283922928,,0.0003585488440098693,0.0003216668189710317,,,,,,,,,,,,1961.8,1961.8,0.897135283922928,,201.79999999999995
1995,5612300.0,-209.8398013245033,1967.5,,1753.5,1753.5,1091.0,191.5,471.0,214.0,,,,,,,1183.0,602.0,106.0,1175.0,,,25.84,14.15,20.0,574.3,86.2,12.3,,,,,2.69,3.99,1.6,0.36,5.78,0.36,0.96,,3.5,,2340329.1,27218027433.0,,,,Y,,1.0,1993.0,3,,,,,,,,,,,,,,,,,,,,1967.5,1883.0,84.5,1967.5,1883.0,84.5,,1091.0,191.5,214.0,471.0,1967.5,0.9570520965692503,,0.00035056928531974413,0.00033551306950804484,,,,,,,,,,,,1967.5,1967.5,0.9570520965692503,,84.5
1996,5757900.0,-210.43891304347832,1973.2,,1748.2,1748.2,1084.0,199.2,465.0,225.0,,,,,,,1713.0,622.0,106.0,985.0,,,26.07,14.84,20.45,439.3,20.6,9.7,,,,,2.69,3.99,1.62,0.36,5.78,0.36,0.96,,3.5,,2401044.3,27924145208.999996,,,,N,,2.0,,,,,,,,,,,,,,,,,,,,,,1973.2,1713.0,260.20000000000005,1973.2,1713.0,260.20000000000005,,1084.0,199.2,225.0,465.0,1973.2,0.8681329819582404,,0.0003426943851056809,0.0002975042984421404,,,,,,,,,,,,1973.2,1973.2,0.8681329819582404,,260.20000000000005
1997,5900000.0,-211.1211510791366,1978.9,,1742.9,1742.9,1077.0,206.9,459.0,236.0,,,,,,,1608.0,638.0,106.0,864.0,,,25.49,14.15,19.82,481.2,59.1,10.2,,,,,2.69,3.99,1.66,0.36,5.78,0.36,0.96,,3.5,,2460300.0,28613289000.0,,,,N,,1.0,,,,,,,,,,,,,,,,,,,,,,1978.9,1608.0,370.9000000000001,1978.9,1608.0,370.9000000000001,,1077.0,206.9,236.0,459.0,1978.9,0.8125726413664156,,0.00033540677966101696,0.0002725423728813559,,,,,,,,,,,,1978.9,1978.9,0.8125726413664156,,370.9000000000001
1998,6041400.0,-211.48684563758388,1984.6,,1737.6,1737.6,1070.0,214.6,453.0,247.0,,,,,,,1866.0,695.0,106.0,1065.0,,,26.67,15.25,20.96,464.2,16.8,9.7,,,,,2.69,3.99,1.92,0.36,5.78,0.36,0.96,,3.5,,2519263.8,29299037993.999996,,,,N,,1.0,,,,,,,,,,,,,,,,,,,,,,1984.6,1866.0,118.59999999999991,1984.6,1866.0,118.59999999999991,,1070.0,214.6,247.0,453.0,1984.6,0.940239846820518,,0.00032850001655245474,0.00030886880524381765,,,,,,,,,,,,1984.6,1984.6,0.940239846820518,,118.59999999999991
1999,6209100.0,-212.4154651162791,1990.3,,1732.3,1732.3,1063.0,222.3,447.0,258.0,,,,,,,1973.0,703.0,106.0,1164.0,,,26.76,15.05,20.91,215.7,5.9,8.0,,,,,3.19,4.49,2.28,0.36,6.28,0.36,0.96,,3.5,,2589194.6999999997,30112334360.999996,,,,N,,1.0,,,,,,,,,,,,,,,,,,,,,,1990.3,1973.0,17.299999999999955,1990.3,1973.0,17.299999999999955,,1063.0,222.3,258.0,447.0,1990.3,0.9913078430387379,,0.0003205456507384323,0.00031775941762896394,,,,,,,,,,,,1990.3,1990.3,0.9913078430387379,,17.299999999999955
