name,supply_reduction,wsi_increase,gap_change,optimistic_count,moderate_count,pessimistic_count,total_pessimistic,total_moderate,total_optimistic
Drought(Optimistic)+Energy(Optimistic),11.464168721704876,0.21622485105511302,-311.4699999999998,2,0,0,0,0,2
Drought(Optimistic)+Energy(Moderate),13.991313629504218,0.21622485105511302,-380.1300000000001,1,1,0,0,1,1
Drought(Optimistic)+Energy(Pessimistic),17.782030991203204,0.21622485105511302,-483.11999999999995,1,0,1,1,0,1
Drought(Moderate)+Energy(Optimistic),21.664764989510108,0.5136471861841736,-588.6100000000001,1,1,0,0,1,1
Drought(Moderate)+Energy(Moderate),24.191909897309433,0.5136471861841736,-657.27,0,2,0,0,2,0
Drought(Moderate)+Energy(Pessimistic),27.98262725900843,0.5136471861841736,-760.2600000000002,0,1,1,1,1,0
Drought(Pessimistic)+Energy(Optimistic),31.86536125731531,0.9485772384453368,-865.75,1,0,1,1,0,1
Drought(Pessimistic)+Energy(Moderate),34.39250616511464,0.9485772384453368,-934.4099999999999,0,1,1,1,1,0
Drought(Pessimistic)+Energy(Pessimistic),38.18322352681365,0.9485772384453368,-1037.4,0,0,2,2,0,0
Drought(Optimistic)+Conflict(Optimistic),23.67050682763443,0.43426353129899864,-551.4604082990493,2,0,0,0,0,2
Drought(Optimistic)+Conflict(Moderate),37.14041738746366,0.657493608691549,-717.4747536787943,1,1,0,0,1,1
Drought(Optimistic)+Conflict(Pessimistic),64.08023850712209,1.6616628969026668,-1088.382543947777,1,0,1,1,0,1
Drought(Moderate)+Conflict(Optimistic),32.34101365526888,0.772625176087,-787.0294082990497,1,1,0,0,1,1
Drought(Moderate)+Conflict(Moderate),44.28083477492731,1.0377693086065622,-911.4727536787942,0,2,0,0,2,0
Drought(Moderate)+Conflict(Pessimistic),68.16047701424417,2.230483112836996,-1199.238543947777,0,1,1,1,1,0
Drought(Pessimistic)+Conflict(Optimistic),41.01152048290331,1.2674220708358772,-1022.5984082990498,1,0,1,1,0,1
Drought(Pessimistic)+Conflict(Moderate),51.421252162390964,1.5938584468547645,-1105.4707536787946,0,1,1,1,1,0
Drought(Pessimistic)+Conflict(Pessimistic),72.24071552136625,3.0622868377864707,-1310.0945439477773,0,0,2,2,0,0
Drought(Optimistic)+Cyber(Optimistic),14.865986970444247,0.33249917071516055,-403.8939999999998,2,0,0,0,0,2
Drought(Optimistic)+Cyber(Moderate),20.289521145423077,0.46719564316049333,-551.2459999999996,1,1,0,0,1,1
Drought(Optimistic)+Cyber(Pessimistic),34.791122234900065,1.0392477275754317,-945.2399999999999,1,0,1,1,0,1
Drought(Moderate)+Cyber(Optimistic),24.556553424859217,0.6592640579116213,-667.1770000000001,1,1,0,0,1,1
Drought(Moderate)+Cyber(Moderate),29.47005778644779,0.8293119669458988,-800.672,0,2,0,0,2,0
Drought(Moderate)+Cyber(Pessimistic),42.44156943575398,1.5682031348714294,-1153.0950000000003,0,1,1,1,1,0
Drought(Pessimistic)+Cyber(Optimistic),34.24711987927418,1.1415022863491087,-930.46,1,0,1,1,0,1
Drought(Pessimistic)+Cyber(Moderate),38.65059442747247,1.369483248438893,-1050.098,0,1,1,1,1,0
Drought(Pessimistic)+Cyber(Pessimistic),50.092016636607894,2.3951112153927463,-1360.95,0,0,2,2,0,0
Energy(Optimistic)+Conflict(Optimistic),16.074036585814724,0.18827596545159375,-345.0719082990498,2,0,0,0,0,2
Energy(Optimistic)+Conflict(Moderate),30.884500717729768,0.38103469198536866,-547.5077536787944,1,1,0,0,1,1
Energy(Optimistic)+Conflict(Pessimistic),60.50542898155986,1.2481328692597635,-991.258543947777,1,0,1,1,0,1
Energy(Moderate)+Conflict(Optimistic),18.222109757444148,0.18827596545159375,-403.4329082990497,1,1,0,0,1,1
Energy(Moderate)+Conflict(Moderate),32.653502153189294,0.38103469198536866,-595.5697536787943,0,2,0,0,2,0
Energy(Moderate)+Conflict(Pessimistic),61.516286944679585,1.2481328692597635,-1018.7225439477769,0,1,1,1,1,0
Energy(Pessimistic)+Conflict(Optimistic),21.44421951488829,0.18827596545159375,-490.97440829904946,1,0,1,1,0,1
Energy(Pessimistic)+Conflict(Moderate),35.307004306378595,0.38103469198536866,-667.6627536787944,0,1,1,1,1,0
