year,demand_mcm,desal_mcm,groundwater_mcm,surface_mcm,reuse_mcm,total_supply_mcm,renewable_supply_mcm,wsi,ddr,surplus_mcm
2025,2465.64396,586.6,1226.3999999999999,159.3,614.6,2586.9,1385.6999999999998,1.7793490365880062,0.2267578955506591,121.25604000000021
2026,2514.9568392,586.6,1226.3999999999999,159.3,614.6,2586.9,1385.6999999999998,1.8149360173197664,0.2267578955506591,71.94316079999999
2027,2565.255975984,586.6,1226.3999999999999,159.3,614.6,2586.9,1385.6999999999998,1.8512347376661618,0.2267578955506591,21.644024016000003
2028,2616.56109550368,586.6,1226.3999999999999,159.3,614.6,2586.9,1385.6999999999998,1.888259432419485,0.2267578955506591,-29.661095503679917
2029,2668.8923174137535,586.6,1226.3999999999999,159.3,614.6,2586.9,1385.6999999999998,1.9260246210678746,0.2267578955506591,-81.99231741375343
2030,2722.2701637620285,686.6,1226.3999999999999,159.3,644.6,2716.9,1385.6999999999998,1.964545113489232,0.252714490779933,-5.370163762028369
2031,2776.715567037269,686.6,1226.3999999999999,159.3,644.6,2716.9,1385.6999999999998,2.0038360157590165,0.252714490779933,-59.81556703726892
2032,2832.2498783780143,686.6,1226.3999999999999,159.3,644.6,2716.9,1385.6999999999998,2.043912736074197,0.252714490779933,-115.34987837801418
2033,2888.8948759455748,686.6,1226.3999999999999,159.3,644.6,2716.9,1385.6999999999998,2.084790990795681,0.252714490779933,-171.99487594557468
2034,2946.6727734644865,686.6,1226.3999999999999,159.3,644.6,2716.9,1385.6999999999998,2.1264868106115946,0.252714490779933,-229.77277346448636
2035,3005.606228933776,886.6,1226.3999999999999,159.3,694.6,2966.9,1385.6999999999998,2.1690165468238267,0.2988304290673767,-38.70622893377595
2036,3065.718353512452,886.6,1226.3999999999999,159.3,694.6,2966.9,1385.6999999999998,2.212396877760303,0.2988304290673767,-98.81835351245172
2037,3127.0327205827007,886.6,1226.3999999999999,159.3,694.6,2966.9,1385.6999999999998,2.256644815315509,0.2988304290673767,-160.13272058270059
2038,3189.5733749943547,886.6,1226.3999999999999,159.3,694.6,2966.9,1385.6999999999998,2.301777711621819,0.2988304290673767,-222.67337499435462
2039,3253.3648424942417,886.6,1226.3999999999999,159.3,694.6,2966.9,1385.6999999999998,2.347813265854256,0.2988304290673767,-286.46484249424157
2040,3318.4321393441264,1086.6,1226.3999999999999,159.3,774.6,3246.9,1385.6999999999998,2.394769531171341,0.334657673473159,-71.53213934412634
2041,3384.800782131009,1086.6,1226.3999999999999,159.3,774.6,3246.9,1385.6999999999998,2.4426649217947674,0.334657673473159,-137.90078213100878
2042,3452.496797773629,1086.6,1226.3999999999999,159.3,774.6,3246.9,1385.6999999999998,2.4915182202306627,0.334657673473159,-205.59679777362908
2043,3521.546733729102,1086.6,1226.3999999999999,159.3,774.6,3246.9,1385.6999999999998,2.5413485846352764,0.334657673473159,-274.6467337291019
2044,3591.977668403684,1086.6,1226.3999999999999,159.3,774.6,3246.9,1385.6999999999998,2.592175556327982,0.334657673473159,-345.07766840368413
2045,3663.817221771758,1386.6,1226.3999999999999,159.3,874.6,3646.9,1385.6999999999998,2.6440190674545416,0.380213331870904,-16.917221771757795
2046,3737.093566207193,1386.6,1226.3999999999999,159.3,874.6,3646.9,1385.6999999999998,2.696899448803632,0.380213331870904,-90.19356620719282
2047,3811.835437531337,1386.6,1226.3999999999999,159.3,874.6,3646.9,1385.6999999999998,2.750837437779705,0.380213331870904,-164.9354375313369
2048,3888.072146281964,1386.6,1226.3999999999999,159.3,874.6,3646.9,1385.6999999999998,2.8058541865352993,0.380213331870904,-241.1721462819637
2049,3965.833589207603,1386.6,1226.3999999999999,159.3,874.6,3646.9,1385.6999999999998,2.861971270266005,0.380213331870904,-318.93358920760284
2050,4045.150260991755,1986.6,1226.3999999999999,159.3,1024.6,4396.9,1385.6999999999998,2.9192106956713255,0.45181832654824994,351.74973900824443
