year,population,kinneret_level_m,tot_water_produced_million_m3,tot_water_produced_without_desalination_million_m3,tot_water_produced_without_water_reuse_million_m3,tot_water_produced_without_water_reuse_and_desalination_million_m3,total_produced_by_wells_milion_m3,produced_by_kinneret_milion_m3,total_produced_by_upper_water_milion_m3,produced_by_effluents_milion_m3,water_desalination_mcm,ashdod_mcm_per_y,sorek_mcm_per_y,hadera_mcm_per_y,palmachim_mcm_per_y,ashkelon_mcm_per_y,total_water_consumed_milion_m3,domestic_milion_m3,industrial_milion_m3,agricultural_milion_m3,water_for_the_environment_milion_m3,other_suppliers,average_maximum_temperatue,average_minimum_temperatue,mean_annual_temperature,annual_total_wet-day_precipitation_mm,extremely_wet_days_mm,simple_daily_intensity_index_mm_per_day,drought_index,water_tarif_for_citizens_nis,desalinated_water_cost_for_goverment_nis,water_tarif_to_desalination_plants_nis,tarif_domestic_use_initial_cubic_meter_nis_per_m3,tarif_domestic_use_additional_cubic_meter_nis_per_m3,tarif_agricultural_use_treated_waternis_per_m3,tarif_agricultural_use_saline_waternis_per_m3,tarif_industrial_use_initial_ratenis_per_m3,tarif_public_gardening_base_ratenis_per_m3,tarif__public_gardening_excess_ratenis_per_m3,electricity_price_nis_per_kwh,energy_consumed_for_production_desalinated_water_kwh_fixed_price_per_m3,energy_used_per_desalinated_water_kwh,total_t.o.e._electricty_consumed,total_electricity_consumed_in_israel_kwh,grid_dependency_of_water_sector_%,backup__per__renewable_energy_fraction_%,conflict_disruption_%_supply_lost,conflict_scenario_flag_y_per_n,population_displacement_persons_or_%,conflict_severity_index_0-3,conflict_start_year_yyyy,conflict_duration_years,cyber_attack_downtime_days_per_year_or_%_time,cybersecurity_scenario_flag_y_per_n,cyber_incident_frequency_incidents_per_year,cyber_threat_level_index_0-3,attack_attempt_frequency_attempts_per_year,attack_success_probability_%,household_income_low-income_nis_per_year,affordability_threshold_%_income,new_desal_capacity_m³_per_day_or_mcm_per_year,commissioning_year_yyyy,plant_location__per__region_id,scenario_crisis_combination_label,supply_reliability_%,resilience_index_dimensionless,shortfall_severity_mcm_or_%_demand,mean_recovery_time_days,impairment_of_functional_continuity,intrusion_into_computer_systems,weaknesses_in_a_computer_system,raw_groundwater,raw_reuse,total_supply,total_demand,supply_gap
1990,4821700.0,-212.01650000000004,1939.0,,1780.0,1780.0,1126.0,153.0,501.0,159.0,,,,,,,1804.0,439.0,106.0,1216.0,,,25.89,14.33,20.11,462.4,37.0,10.3,,,,,,,,,,,,,3.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1627.0,159.0,1939.0,1761.0,178.0
1991,5058800.0,-212.39713692946063,1944.7,,1774.7,1774.7,1119.0,160.7,495.0,170.0,,,,,,,1484.0,515.0,106.0,939.0,,,25.61,14.6,20.1,385.4,37.9,11.0,,,,,2.32,3.42,1.1,0.36,4.97,0.36,0.96,,3.5,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1614.0,170.0,1944.7,1560.0,384.70000000000005
1992,5195900.0,-209.40668393782383,1950.4,,1769.4,1769.4,1112.0,168.4,489.0,181.0,,,,,,,1617.0,512.0,106.0,996.0,,,24.5,13.59,19.05,910.0,170.8,15.1,,,,,2.53,3.75,1.2,0.36,5.44,0.36,0.96,,3.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1601.0,181.0,1950.4,1614.0,336.4000000000001
1993,5327600.0,-209.1663380281692,1956.1,,1764.1,1764.1,1105.0,176.1,483.0,192.0,,,,,,,1793.0,544.0,106.0,1175.0,,,25.77,14.1,19.94,525.3,40.3,12.2,,,,,2.53,3.75,1.38,0.36,5.44,0.36,0.96,,3.5,,,,,,,,,2.0,1993.0,3.0,,,,,,,,,,,,,,,,,,,,1588.0,192.0,1956.1,1825.0,131.0999999999999
1994,5471500.0,-209.77825174825168,1961.8,,1758.8,1758.8,1098.0,183.8,477.0,203.0,,,,,,,1840.0,464.0,106.0,1190.0,,,26.07,15.03,20.55,336.3,9.5,9.1,,,,,2.53,3.75,1.5,0.36,5.44,0.36,0.96,,3.5,,,,,,,,,1.0,1993.0,3.0,,,,,,,,,,,,,,,,,,,,1575.0,203.0,1961.8,1760.0,201.79999999999995
1995,5612300.0,-209.8398013245033,1967.5,,1753.5,1753.5,1091.0,191.5,471.0,214.0,,,,,,,1983.0,602.0,106.0,1275.0,,,25.84,14.15,20.0,574.3,86.2,12.3,,,,,2.69,3.99,1.6,0.36,5.78,0.36,0.96,,3.5,,2340329.1,27218027433.0,,,,,,1.0,1993.0,3.0,,,,,,,,,,,,,,,,,,,,1562.0,214.0,1967.5,1983.0,-15.5
1996,5757900.0,-210.43891304347832,1973.2,,1748.2,1748.2,1084.0,199.2,465.0,225.0,,,,,,,2013.0,622.0,106.0,1285.0,,,26.07,14.84,20.45,439.3,20.6,9.7,,,,,2.69,3.99,1.62,0.36,5.78,0.36,0.96,,3.5,,2401044.3,27924145208.999996,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1549.0,225.0,1973.2,2013.0,-39.799999999999955
1997,5900000.0,-211.1211510791366,1978.9,,1742.9,1742.9,1077.0,206.9,459.0,236.0,,,,,,,2008.0,638.0,106.0,1264.0,,,25.49,14.15,19.82,481.2,59.1,10.2,,,,,2.69,3.99,1.66,0.36,5.78,0.36,0.96,,3.5,,2460300.0,28613289000.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1536.0,236.0,1978.9,2008.0,-29.09999999999991
1998,6041400.0,-211.48684563758388,1984.6,,1737.6,1737.6,1070.0,214.6,453.0,247.0,,,,,,,2166.0,695.0,106.0,1365.0,,,26.67,15.25,20.96,464.2,16.8,9.7,,,,,2.69,3.99,1.92,0.36,5.78,0.36,0.96,,3.5,,2519263.8,29299037993.999996,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1523.0,247.0,1984.6,2166.0,-181.4000000000001
1999,6209100.0,-212.4154651162791,1990.3,,1732.3,1732.3,1063.0,222.3,447.0,258.0,,,,,,,2073.0,703.0,106.0,1264.0,,,26.76,15.05,20.91,215.7,5.9,8.0,,,,,3.19,4.49,2.28,0.36,6.28,0.36,0.96,,3.5,,2589194.6999999997,30112334360.999996,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1510.0,258.0,1990.3,2073.0,-82.70000000000005
2000,6369300.0,-212.92441624365475,1996.0,,1727.0,1727.0,1056.0,230.0,441.0,269.0,,,,,,,1924.0,662.0,124.0,1138.0,,,25.84,14.58,20.21,377.7,39.5,10.7,,,,,3.19,4.49,2.44,0.36,6.28,0.36,0.96,,3.5,,2655998.1,30889257903.0,,,,,,2.0,2000.0,5.0,,,,,,,,,,,,,,,,,,,,1497.0,269.0,1996.0,1924.0,72.0
2001,6508800.0,-213.86822314049587,2013.4,,1731.2,1731.2,1021.4,264.2,441.6,282.2,,,,,,,1800.0,654.0,124.0,1022.0,,,26.76,15.2,20.98,391.2,27.3,10.2,,,,,3.53,4.85,2.5,0.36,6.67,0.36,0.96,,3.5,,2714169.6,31565792448.0,,,,,,2.0,2000.0,5.0,,,,,,,,,,,,,,,,,,,,1463.0,282.2,2009.4,1800.0,209.4000000000001
2002,6631100.0,-213.90518218623495,2030.8,,1735.4,1735.4,986.8,298.4,442.2,295.4,,,,,,,1831.0,686.0,124.0,1021.0,,,26.53,15.2,20.86,529.7,64.5,12.4,,,,,3.46,4.75,2.52,0.36,6.52,0.36,0.96,41.8,3.5,,2765168.6999999997,32158911980.999996,,,,,,2.0,2000.0,5.0,,,,,,,,,,,,,,,,,,,,1429.0,295.4,2022.8000000000002,1831.0,191.80000000000018
2003,6748400.0,-210.9824899598393,2048.2,,1739.6,1739.6,952.2,332.6,442.8,308.6,,,,,,,1860.0,691.0,124.0,1045.0,,,26.26,15.11,20.68,653.7,65.2,11.1,,,,,4.01,5.51,3.09,0.36,7.59,0.36,0.96,42.52,3.5,,2814082.8,32727782963.999996,,,,,,2.0,2000.0,5.0,,,,,,,,,,,,,,,,,,,,1395.0,308.6,2036.1999999999998,1860.0,176.19999999999982
2004,6869500.0,-209.82525270758123,2065.6,,1743.8,1743.8,917.6,366.8,443.4,321.8,,,,,,,1954.0,701.0,124.0,1129.0,,,26.27,14.74,20.5,403.5,18.7,10.5,,,,,4.1,5.65,3.15,0.36,7.78,0.36,0.96,48.2,3.5,,2864581.5,33315082845.0,,,,,,2.0,2000.0,5.0,,,,,,,,,,,,,,,,,,,,1361.0,321.8,2049.6,1954.0,95.59999999999991
2005,6990700.0,-210.59806324110664,2083.0,2063.0,1748.0,1728.0,883.0,401.0,444.0,335.0,20.0,0.0,0.0,0.0,0.0,20.0,1961.0,715.0,120.0,1126.0,,,26.11,14.76,20.43,439.4,22.7,12.4,,,14000000.0,,,,,,,,,48.8,3.5,70000000.0,2915121.9,33902867697.0,0.2064722094473269,,,,,1.0,2006.0,,,,,,,,,,,,,,,,,,,,,1327.0,335.0,2083.0,1961.0,122.0
2006,7116700.0,-211.38432170542632,2096.0,1996.0,1737.0,1637.0,986.0,242.0,409.0,359.0,100.0,0.0,0.0,0.0,0.0,100.0,1959.0,737.0,114.0,1108.0,,,25.94,14.61,20.27,410.9,27.8,10.0,,,70000000.0,,,,,,,,,47.97,3.5,350000000.0,2967663.9,34513931157.0,1.014083265125289,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,1395.0,359.0,2096.0,1959.0,137.0
2007,7243600.0,-211.85499607843136,2199.0,2076.0,1812.0,1689.0,1064.0,224.0,401.0,387.0,123.0,0.0,0.0,20.0,15.0,105.0,2072.0,767.0,119.0,1186.0,,,26.3,15.09,20.7,428.1,34.1,10.5,,,98500000.0,,,,,,,,,51.86,3.5,430500000.0,3020581.1999999997,35129359356.0,1.225470682904645,,,,,1.0,2008.0,,,,,,,,,,,,,,,,,,,,,1465.0,387.0,2199.0,2072.0,127.0
2008,7412200.0,-213.0710080645162,2150.0,2008.0,1753.3333,1611.3333,988.0,205.0,379.6667,396.6667,142.0,0.0,0.0,120.0,30.0,112.0,2001.0,761.0,119.0,1121.0,,,26.73,15.11,20.92,305.6,23.1,10.3,,,180400000.0,,,,,,,,,56.29,3.5,497000000.0,3090887.4,35947020462.0,1.382590249796598,,,,,2.0,2008.0,,,,,,,,,,,,,,,,,,,,,1367.6667,396.6667,2111.3334,2001.0,110.33339999999998
