name,composition,size,opt_count,mod_count,pes_count,supply_reduction,wsi_increase,gap_change
Drought(Optimistic)+Energy(Optimistic),drought:Optimistic|energy:Optimistic,2,2,0,0,11.464168721704876,0.21622485105511302,-311.4699999999998
Drought(Optimistic)+Energy(Moderate),drought:Optimistic|energy:Moderate,2,1,1,0,13.99131362950422,0.21622485105511302,-380.1300000000001
Drought(Optimistic)+Energy(Pessimistic),drought:Optimistic|energy:Pessimistic,2,1,0,1,17.782030991203204,0.21622485105511302,-483.11999999999995
Drought(Moderate)+Energy(Optimistic),drought:Moderate|energy:Optimistic,2,1,1,0,21.664764989510108,0.5136471861841736,-588.6100000000001
Drought(Moderate)+Energy(Moderate),drought:Moderate|energy:Moderate,2,0,2,0,24.191909897309433,0.5136471861841736,-657.27
Drought(Moderate)+Energy(Pessimistic),drought:Moderate|energy:Pessimistic,2,0,1,1,27.982627259008428,0.5136471861841736,-760.2600000000002
Drought(Pessimistic)+Energy(Optimistic),drought:Pessimistic|energy:Optimistic,2,1,0,1,31.86536125731531,0.9485772384453368,-865.75
Drought(Pessimistic)+Energy(Moderate),drought:Pessimistic|energy:Moderate,2,0,1,1,34.39250616511463,0.9485772384453368,-934.4099999999999
Drought(Pessimistic)+Energy(Pessimistic),drought:Pessimistic|energy:Pessimistic,2,0,0,2,38.18322352681365,0.9485772384453368,-1037.4
Drought(Optimistic)+Conflict(Optimistic),drought:Optimistic|conflict:Optimistic,2,2,0,0,23.670506827634426,0.43426353129899864,-551.4604082990493
Drought(Optimistic)+Conflict(Moderate),drought:Optimistic|conflict:Moderate,2,1,1,0,37.14041738746365,0.657493608691549,-717.4747536787943
Drought(Optimistic)+Conflict(Pessimistic),drought:Optimistic|conflict:Pessimistic,2,1,0,1,64.08023850712209,1.6616628969026668,-1088.382543947777
Drought(Moderate)+Conflict(Optimistic),drought:Moderate|conflict:Optimistic,2,1,1,0,32.34101365526888,0.772625176087,-787.0294082990497
Drought(Moderate)+Conflict(Moderate),drought:Moderate|conflict:Moderate,2,0,2,0,44.28083477492731,1.0377693086065622,-911.4727536787942
Drought(Moderate)+Conflict(Pessimistic),drought:Moderate|conflict:Pessimistic,2,0,1,1,68.16047701424417,2.230483112836996,-1199.238543947777
Drought(Pessimistic)+Conflict(Optimistic),drought:Pessimistic|conflict:Optimistic,2,1,0,1,41.01152048290331,1.2674220708358772,-1022.5984082990498
Drought(Pessimistic)+Conflict(Moderate),drought:Pessimistic|conflict:Moderate,2,0,1,1,51.42125216239096,1.5938584468547645,-1105.4707536787946
Drought(Pessimistic)+Conflict(Pessimistic),drought:Pessimistic|conflict:Pessimistic,2,0,0,2,72.24071552136627,3.0622868377864707,-1310.0945439477773
Drought(Optimistic)+Cyber(Optimistic),drought:Optimistic|cyber:Optimistic,2,2,0,0,14.865986970444249,0.33249917071516055,-403.8939999999998
Drought(Optimistic)+Cyber(Moderate),drought:Optimistic|cyber:Moderate,2,1,1,0,20.289521145423077,0.46719564316049333,-551.2459999999996
Drought(Optimistic)+Cyber(Pessimistic),drought:Optimistic|cyber:Pessimistic,2,1,0,1,34.791122234900065,1.0392477275754317,-945.2399999999999
Drought(Moderate)+Cyber(Optimistic),drought:Moderate|cyber:Optimistic,2,1,1,0,24.556553424859217,0.6592640579116213,-667.1770000000001
Drought(Moderate)+Cyber(Moderate),drought:Moderate|cyber:Moderate,2,0,2,0,29.47005778644779,0.8293119669458988,-800.672
Drought(Moderate)+Cyber(Pessimistic),drought:Moderate|cyber:Pessimistic,2,0,1,1,42.44156943575398,1.5682031348714294,-1153.0950000000003
Drought(Pessimistic)+Cyber(Optimistic),drought:Pessimistic|cyber:Optimistic,2,1,0,1,34.24711987927418,1.1415022863491087,-930.46
Drought(Pessimistic)+Cyber(Moderate),drought:Pessimistic|cyber:Moderate,2,0,1,1,38.65059442747248,1.369483248438893,-1050.098
Drought(Pessimistic)+Cyber(Pessimistic),drought:Pessimistic|cyber:Pessimistic,2,0,0,2,50.092016636607894,2.3951112153927463,-1360.95
Energy(Optimistic)+Conflict(Optimistic),energy:Optimistic|conflict:Optimistic,2,2,0,0,16.074036585814724,0.18827596545159375,-345.0719082990498
Energy(Optimistic)+Conflict(Moderate),energy:Optimistic|conflict:Moderate,2,1,1,0,30.884500717729768,0.38103469198536866,-547.5077536787944
Energy(Optimistic)+Conflict(Pessimistic),energy:Optimistic|conflict:Pessimistic,2,1,0,1,60.50542898155986,1.2481328692597635,-991.258543947777
Energy(Moderate)+Conflict(Optimistic),energy:Moderate|conflict:Optimistic,2,1,1,0,18.222109757444148,0.18827596545159375,-403.4329082990497
Energy(Moderate)+Conflict(Moderate),energy:Moderate|conflict:Moderate,2,0,2,0,32.653502153189294,0.38103469198536866,-595.5697536787943
Energy(Moderate)+Conflict(Pessimistic),energy:Moderate|conflict:Pessimistic,2,0,1,1,61.516286944679585,1.2481328692597635,-1018.7225439477769
Energy(Pessimistic)+Conflict(Optimistic),energy:Pessimistic|conflict:Optimistic,2,1,0,1,21.44421951488829,0.18827596545159375,-490.97440829904946
Energy(Pessimistic)+Conflict(Moderate),energy:Pessimistic|conflict:Moderate,2,0,1,1,35.307004306378595,0.38103469198536866,-667.6627536787944
Energy(Pessimistic)+Conflict(Pessimistic),energy:Pessimistic|conflict:Pessimistic,2,0,0,2,63.0325738893592,1.2481328692597635,-1059.9185439477772
Energy(Optimistic)+Cyber(Optimistic),energy:Optimistic|cyber:Optimistic,2,2,0,0,6.426357245389976,0.09645840150710017,-174.59770000000026
Energy(Optimistic)+Cyber(Moderate),energy:Optimistic|cyber:Moderate,2,1,1,0,12.309378335603062,0.2075534671011603,-334.43349999999964
Energy(Optimistic)+Cyber(Pessimistic),energy:Optimistic|cyber:Pessimistic,2,1,0,1,28.27789024255587,0.671790623617128,-768.2820000000002
Energy(Moderate)+Cyber(Optimistic),energy:Moderate|cyber:Optimistic,2,1,1,0,8.928230704111307,0.09645840150710017,-242.5711000000001
Energy(Moderate)+Cyber(Moderate),energy:Moderate|cyber:Moderate,2,0,2,0,14.710165998012423,0.2075534671011603,-399.6604999999995
Energy(Moderate)+Cyber(Pessimistic),energy:Moderate|cyber:Pessimistic,2,0,1,1,30.55232065957526,0.671790623617128,-830.0760000000001
Energy(Pessimistic)+Cyber(Optimistic),energy:Pessimistic|cyber:Optimistic,2,1,0,1,12.681040892193323,0.09645840150710017,-344.53120000000035
Energy(Pessimistic)+Cyber(Moderate),energy:Pessimistic|cyber:Moderate,2,0,1,1,18.311347491626478,0.2075534671011603,-497.5009999999998
Energy(Pessimistic)+Cyber(Pessimistic),energy:Pessimistic|cyber:Pessimistic,2,0,0,2,33.96396628510435,0.671790623617128,-922.7669999999999
Conflict(Optimistic)+Cyber(Optimistic),conflict:Optimistic|cyber:Optimistic,2,2,0,0,19.399107438624917,0.2980115822249654,-435.4107582990499
Conflict(Optimistic)+Cyber(Moderate),conflict:Optimistic|cyber:Moderate,2,1,1,0,24.442636828738628,0.4243985568478552,-572.4384082990493
Conflict(Optimistic)+Cyber(Pessimistic),conflict:Optimistic|cyber:Pessimistic,2,1,0,1,38.06957377893924,0.9525365925548439,-942.6686582990494
